Entity,Code,Year, (% of GDP)
Benin,2010,4.94824039,
Benin,2011,5.36875255,
Benin,2012,4.85686602,
Benin,2013,4.59205377,
Bhutan,2003,4.9041054,
Bhutan,2004,4.40750213,
Bhutan,2005,5.28092275,
Bhutan,2006,5.26868823,
Bhutan,2007,5.87866065,
Bhutan,2008,6.57982434,
Bhutan,2009,6.02784218,
Bhutan,2010,5.17176159,
Bhutan,2011,4.73145771,
Bhutan,2012,3.70384573,
Bhutan,2013,3.82579516,
Bolivia,2003,5.30411075,
Bolivia,2004,5.21561551,
Bolivia,2005,5.66626332,
Bolivia,2006,5.19483534,
Bolivia,2007,4.96364424,
Bolivia,2008,5.00221817,
Bolivia,2009,5.76173626,
Bolivia,2010,5.44301385,
Bolivia,2011,5.49176327,
Bolivia,2012,5.5569911,
Bolivia,2013,5.9649866,
Botswana,2003,4.64786115,
Botswana,2004,5.55872796,
Botswana,2005,5.62371187,
Botswana,2006,4.92953585,
Botswana,2007,4.71306526,
Botswana,2008,5.55037104,
Botswana,2009,6.38817073,
Botswana,2010,5.64265217,
Botswana,2011,5.24916763,
Botswana,2012,6.27218857,
Botswana,2013,5.83806784,
Brazil,2003,6.94296392,
Brazil,2004,7.06793519,
Brazil,2005,8.26702693,
Brazil,2006,8.35570723,
Brazil,2007,8.28058988,
Brazil,2008,8.23798966,
Brazil,2009,8.64909707,
Brazil,2010,8.26736921,
Brazil,2011,8.0901717,
Brazil,2012,8.26089862,
Brazil,2013,8.48312451,
Bulgaria,2003,7.43475437,
Bulgaria,2004,7.08595529,
Bulgaria,2005,7.07978092,
Bulgaria,2006,6.6734753,
Bulgaria,2007,6.41034419,
Bulgaria,2008,6.61156197,
Bulgaria,2009,6.77819389,
Bulgaria,2010,7.24456053,
Bulgaria,2011,6.88297734,
Bulgaria,2012,7.10569778,
Bulgaria,2013,7.93021922,
Burkina Faso,2003,5.60978869,
Burkina Faso,2004,6.45328338,
Burkina Faso,2005,6.87238586,
Burkina Faso,2006,6.57889926,
Burkina Faso,2007,6.62938957,
Burkina Faso,2008,6.76855996,
Burkina Faso,2009,7.40543097,
Burkina Faso,2010,7.17005016,
Burkina Faso,2011,5.16945672,
Burkina Faso,2012,5.32688534,
Burkina Faso,2013,5.91240213,
Burundi,2003,5.24840706,
Burundi,2004,7.10205754,
Burundi,2005,9.83776739,
Burundi,2006,11.49013252,
Burundi,2007,10.02676743,
Burundi,2008,7.85946357,
Burundi,2009,6.96418727,
Burundi,2010,8.82066864,
Burundi,2011,8.57801472,
Burundi,2012,8.20755375,
Burundi,2013,8.03161378,
Cambodia,2003,6.74284618,
Cambodia,2004,6.43218295,
Cambodia,2005,5.84121965,
Cambodia,2006,4.47935339,
Cambodia,2007,3.7458317,
Cambodia,2008,5.55434947,
Cambodia,2009,6.35516894,
Cambodia,2010,5.95280478,
Cambodia,2011,5.64142819,
Cambodia,2012,6.23920837,
Cambodia,2013,5.93281822,
Cameroon,2003,4.97339975,
Cameroon,2004,4.73054345,
Cameroon,2005,4.75114245,
Cameroon,2006,4.68549975,
Cameroon,2007,4.75670352,
Cameroon,2008,5.17618655,
Cameroon,2009,5.06998858,
Cameroon,2010,5.28483734,
Cameroon,2011,3.96167517,
Cameroon,2012,4.33911457,
Cameroon,2013,4.29309731,
Canada,2003,9.54031491,
Canada,2004,9.55593893,
Canada,2005,9.57259884,
Canada,2006,9.75077613,
Canada,2007,9.834884,
Canada,2008,10.0314672,
Canada,2009,11.17309256,
Canada,2010,11.20113293,
Canada,2011,10.82129629,
Canada,2012,10.77921223,
Canada,2013,10.66516682,
Cape Verde,2003,4.99736722,
Cape Verde,2004,5.06127652,
Cape Verde,2005,4.85837167,
Cape Verde,2006,5.11488034,
Cape Verde,2007,4.30181632,
Cape Verde,2008,3.96261016,
Cape Verde,2009,4.24249163,
Cape Verde,2010,4.8314955,
Cape Verde,2011,4.5981957,
Cape Verde,2012,4.60767994,
Cape Verde,2013,4.29340629,
Central African Republic,2003,4.30920674,
Central African Republic,2004,4.10144818,
Central African Republic,2005,4.29009912,
Central African Republic,2006,3.98872906,
Central African Republic,2007,4.04420573,
Central African Republic,2008,4.30491314,
Central African Republic,2009,3.57683853,
Central African Republic,2010,3.89743425,
Central African Republic,2011,3.73272849,
Central African Republic,2012,3.62284672,
Central African Republic,2013,3.82208893,
Chad,2003,5.49054134,
Chad,2004,5.71977487,
Chad,2005,3.91024833,
Chad,2006,3.32174296,
Chad,2007,3.34616501,
Chad,2008,2.9164692,
Chad,2009,3.30677754,
Chad,2010,2.94877337,
Chad,2011,3.16873244,
Chad,2012,3.0003298,
Chad,2013,3.41745392,
Chile,2003,7.33944363,
Chile,2004,6.93393245,
Chile,2005,6.69119625,
Chile,2006,6.18107636,
Chile,2007,6.34524532,
Chile,2008,6.8683536,
Chile,2009,7.39252832,
